"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jul 25 00:57:04 GMT 2023","Tue Jul 25 00:57:05 GMT 2023","1444","tests","test_footer","TestFooter","","","TC 02.01.14 - Check display of Advanced Search link on each page specified in DATA_1","Checks if Advanced Search link is visible on each page in DATA_1"
"passed","Tue Jul 25 00:56:16 GMT 2023","Tue Jul 25 00:56:17 GMT 2023","1036","tests","test_footer","TestFooter","","","TC 02.01.03 - Check Search Terms link is present in the DOM tree on each page specified in DATA_1","Checks if the Search Terms link is present in the DOM tree on each page specified in DATA_1"
"passed","Tue Jul 25 01:04:03 GMT 2023","Tue Jul 25 01:04:03 GMT 2023","275","tests","test_forgot_your_password","TestForgotYourPassword","","","TC 17.01.10 Verify FYP captcha input field is correct format and clickable","Check if the captcha input is of correct format (input-text) and clickable"
"passed","Tue Jul 25 01:17:27 GMT 2023","Tue Jul 25 01:17:29 GMT 2023","1577","tests","test_sale","TestSalePage","","","TC 10.01.03, 10.01.05, 10.01.07, 10.01.09, 10.01.11, 10.01.13 - Verify 6 links in Women's Deals open the correct pages","Check that six links in Women's Deals section lead to the correct pages after click"
"passed","Tue Jul 25 01:15:29 GMT 2023","Tue Jul 25 01:15:31 GMT 2023","1583","tests","test_men","TestMenPagePromoBlock","","","TC 14.06.36 Verify that the 'Dress for fitness' text is visible.","Verify that text-2 in 'Luma hoodies' block correctly displayed"
"passed","Tue Jul 25 00:55:35 GMT 2023","Tue Jul 25 00:55:36 GMT 2023","1221","tests","test_create_an_account","TestCreateAnAccount","","","test 04.02.04 create an account with empty e-mail"," Verify that customer can't Create An Account with empty e-mail"
"passed","Tue Jul 25 01:08:35 GMT 2023","Tue Jul 25 01:08:38 GMT 2023","2362","tests","test_header","TestHeader","","","TC 01.03.05 display and interactivity of the ""Tops"" section of the ""Women"" section","Check the 'Tops' subsection in 'Women' section is displayed and the 'Jackets', 'Shorts',         'Hoodies & Sweatshirts', 'Tees' and 'Bras & Tanks' subsections is displayed"
"passed","Tue Jul 25 01:05:59 GMT 2023","Tue Jul 25 01:06:02 GMT 2023","3041","tests","test_header","TestHeader","","","TC 01.03.33 correctly redirected the link ""Training""","Verify 'Training' link click redirected to the page and the 'Training' header is displayed"
"passed","Tue Jul 25 00:54:27 GMT 2023","Tue Jul 25 00:54:28 GMT 2023","917","tests","test_create_an_account","TestCreateAnAccount","","","TC 04_01_04 Verify First name input field highlighting on label click"," Verify that First name input field highlighted when label is clicked"
"passed","Tue Jul 25 00:56:21 GMT 2023","Tue Jul 25 00:56:22 GMT 2023","1363","tests","test_footer","TestFooter","","","TC 02.01.04 - Check display of Search Terms link on each page specified in DATA_1","Checks if Search Terms link is visible on each page in DATA_1"
"passed","Tue Jul 25 01:10:52 GMT 2023","Tue Jul 25 01:10:54 GMT 2023","1488","tests","test_main_page","TestMainPage","","","TC 13.01.01 - Check the display of the Promo Block under header on the main page","This test checks if Promo Block under header is displayed on the main page"
"passed","Tue Jul 25 00:56:54 GMT 2023","Tue Jul 25 00:56:55 GMT 2023","1243","tests","test_footer","TestFooter","","","TC 02.01.12 - Check text of Privacy and Cookie Policy link on each page specified in DATA_1","Checks if text of Privacy and Cookie Policy link matches expected on each page in DATA_1"
"passed","Tue Jul 25 00:58:34 GMT 2023","Tue Jul 25 00:58:35 GMT 2023","1128","tests","test_footer","TestFooter","","","TC 02.01.28 - Check Write for us link is present in the DOM tree on each page specified in DATA_1","Checks if Write for us link is present in the DOM tree on each page specified in DATA_1"
"passed","Tue Jul 25 01:15:47 GMT 2023","Tue Jul 25 01:15:49 GMT 2023","1596","tests","test_promotion_pants","TestPromotionPantsPage","","","test_tc_19_01_01","Checking title of the Shopping Options section"
"passed","Tue Jul 25 01:13:50 GMT 2023","Tue Jul 25 01:13:52 GMT 2023","2268","tests","test_men","TestMenPage","","","TC 14.03.02 Verify the link 'Hoodies&Sweatshirts' is visible and clickable.","Verify that the link 'Hoodies&Sweatshirts' is displayed and clickable"
"passed","Tue Jul 25 01:03:35 GMT 2023","Tue Jul 25 01:03:35 GMT 2023","357","tests","test_forgot_your_password","TestForgotYourPassword","","","TC 17.01.01 Verify Forgot Your Password Page h1 Header","Check Login Page Heading is present "
"passed","Tue Jul 25 01:18:51 GMT 2023","Tue Jul 25 01:18:53 GMT 2023","1626","tests","test_sale","TestSalePage","","","TC 10.04.03, 10.04.06, 10.04.09 - Verify that links in Main block, 2 columns block open the correct pages","Check that two links in Gear Deals section lead to the correct pages after click"
"passed","Tue Jul 25 01:17:11 GMT 2023","Tue Jul 25 01:17:12 GMT 2023","255","tests","test_sale","TestSalePage","","","TC 10.01.02, 10.01.04, 10.01.06, 10.01.08, 10.01.10, 10.01.12 - Verify 6 links in Women's Deals section are visible and clickable","Check that six elements in Women's Deals section are displayed and enabled"
"passed","Tue Jul 25 01:23:12 GMT 2023","Tue Jul 25 01:23:13 GMT 2023","677","tests","test_sign_in","TestRegisteredCustomers","","","TC 03.01.13 Verify Password is masked","Check if the entered value is masked in password field"
"passed","Tue Jul 25 00:56:51 GMT 2023","Tue Jul 25 00:56:53 GMT 2023","1404","tests","test_footer","TestFooter","","","TC 02.01.10 - Check if Privacy and Cookie Policy link is clickable on each page specified in DATA_1","This test checks if Privacy and Cookie Policy link is clickable on each page specified in DATA_1"
"passed","Tue Jul 25 00:59:19 GMT 2023","Tue Jul 25 00:59:20 GMT 2023","1129","tests","test_footer","TestFooter","","","TC 02.01.37 - Check text of Copyright section on each page specified in DATA_1","Checks if text of Copyright section is correct on each page in DATA_1"
"passed","Tue Jul 25 01:18:11 GMT 2023","Tue Jul 25 01:18:12 GMT 2023","1734","tests","test_sale","TestSalePage","","","TC 10.02.03, 10.02.05, 10.02.07, 10.02.09, 10.02.11 - Verify 5 links in Men's Deals open the correct pages","Check that five links in Men's Deals section lead to the correct pages after click"
"skipped","Tue Jul 25 01:24:04 GMT 2023","Tue Jul 25 01:24:04 GMT 2023","0","tests","test_sign_in","TestFailedLogin","","","TC 03.02.01 to 03_02_10 Verify and Failed Login, no error validation","Check Success and Failed Login, no error validation"
"passed","Tue Jul 25 01:14:09 GMT 2023","Tue Jul 25 01:14:12 GMT 2023","2876","tests","test_men","TestMenPage","","","TC 14.03.07 Verify the link 'Tees' redirects to a correct page.","Verify that the link 'Tees' correctly opens and redirects to a new webpage, the header 'Tees' is
        displayed"
"passed","Tue Jul 25 01:06:32 GMT 2023","Tue Jul 25 01:06:34 GMT 2023","2411","tests","test_header","TestHeader","","","TC 01.03.23 display and interactivity of the ""Bottoms"" section of the ""Men"" section","Check the 'Bottoms' subsection in 'Men' section is displayed and the 'Pants' and 'Shorts'         subsections is displayed"
"passed","Tue Jul 25 01:23:37 GMT 2023","Tue Jul 25 01:23:38 GMT 2023","409","tests","test_sign_in","TestNewCustomers","","","TC 03.01.22 Verify Create an Account button link","Check if 'Create an Account' button has correct link and is clickable"
"passed","Tue Jul 25 01:07:18 GMT 2023","Tue Jul 25 01:07:20 GMT 2023","2332","tests","test_header","TestHeader","","","TC 01.03.17 display and interactivity of the ""Tops"" section of the ""Men"" section","Check the 'Tops' subsection in 'Men' section is displayed and the 'Jackets', 'Shorts',         'Hoodies & Sweatshirts', 'Tees' and 'Tanks' subsections is displayed"
"passed","Tue Jul 25 01:15:21 GMT 2023","Tue Jul 25 01:15:22 GMT 2023","1506","tests","test_men","TestMenPagePromoBlock","","","TC 14.06.33 Verify the visibility of 'Luma hoodies' promo block.","Verify that the block 'Luma hoodies' is displayed on the Men page"
"passed","Tue Jul 25 01:02:39 GMT 2023","Tue Jul 25 01:02:42 GMT 2023","2938","tests","test_footer","TestFooter","","","TC 02.02.02 - Check Privacy and Cookie Policy link in footer leads to the correct page from each page specified in DATA_1","Check that Privacy and Cookie Policy link in footer is correct"
"passed","Tue Jul 25 01:09:01 GMT 2023","Tue Jul 25 01:09:06 GMT 2023","5231","tests","test_header","TestHeader","","","TC 01.03.10 correctness of the ""Bras"" link of the ""Women"" section","Check 'Bras & Tanks' subsection link click in 'Women' section redirects to the Bras & Tanks-women page and         the 'Bras & Tanks' header is displayed"
"skipped","Tue Jul 25 01:24:04 GMT 2023","Tue Jul 25 01:24:04 GMT 2023","0","tests","test_sign_in","TestFailedLogin","","","TC 03.02.01 to 03_02_10 Verify and Failed Login, no error validation","Check Success and Failed Login, no error validation"
"passed","Tue Jul 25 01:25:07 GMT 2023","Tue Jul 25 01:25:08 GMT 2023","1551","tests","test_women","TestWomenPage","","","TC 12.02.01 Check side panel title Category is visible","Check Category title is visible"
"broken","Tue Jul 25 01:00:17 GMT 2023","Tue Jul 25 01:00:24 GMT 2023","6347","tests","test_footer","TestFooter","","","TC 02.01.41 - Check display of Subscribe Button on each page specified in DATA_1","Checks if Subscribe Button is visible on each page in DATA_1"
"passed","Tue Jul 25 01:15:50 GMT 2023","Tue Jul 25 01:15:52 GMT 2023","1827","tests","test_promotion_pants","TestPromotionPantsPage","","","test_tc_19_01_02","Checking title of the Style section"
