"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","Login Functionality with captcha","","0","0","0","15","0"
"Sign In Page","Registered Customers","","0","17","0","0","0"
"Test Header","","","0","53","0","0","0"
"Sale Page","Testing Promo Blocks, Main Block (Women's Deals) and 2 columns block - Men's Bargain, Gear Steals","","0","15","0","0","0"
"Main Page","Testing Promo Block","","0","56","0","0","0"
"Test Training Video","","","0","6","0","0","0"
"","","","0","33","0","0","0"
"Main Page","Testing Hot Seller Section","","0","10","0","7","0"
"Forgot Your Password Page","","","0","13","0","0","0"
"","Shopping Cart is full","","0","14","0","0","0"
"Sale Page","Testing Side Menu Bar - Women's Deals Section","","0","13","0","0","0"
"Shopping Cart","Shopping Cart is empty","","0","3","0","0","0"
"Test Footer","","","0","84","0","0","0"
"Create An Account","","","0","25","0","1","0"
"Training Page","Testing Training Page Sidebar","","0","15","0","0","0"
"MenPage","","","0","18","0","0","0"
"","New Customers","","0","5","0","0","0"
"Sale Page","Testing Side Menu Bar - Gear Deals Section","","0","5","0","0","0"
"Sale Page","Testing Side Menu Bar - Men's Deals Section","","0","10","0","1","0"
"WomenPage","","","0","6","0","0","0"
"Orders and Returns","","","0","3","0","0","0"
"","Login Functionality","","0","5","0","0","0"
