"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 03 16:18:17 GMT 2023","Mon Jul 03 16:18:18 GMT 2023","1461","tests","test_main_page","TestMainPage","","","test_tc_06_01_10_check_the_cursor_change_to_cart_button[add_to_compare]","This test check the cursor change when hovering over the cart buttons"
"passed","Mon Jul 03 16:24:31 GMT 2023","Mon Jul 03 16:24:31 GMT 2023","59","tests","test_sale","TestSalePage","","","TC 10.03.01 - Verify 'GEAR DEALS' title is correct","Check title of Gear Deals section"
"passed","Mon Jul 03 16:11:36 GMT 2023","Mon Jul 03 16:11:37 GMT 2023","983","tests","test_footer","TestFooter","","","TC 02.01.22 - Check text of Orders and Returns link on each page specified in DATA_1","Checks if text of Orders and Returns link is correct on each page in DATA_1"
"passed","Mon Jul 03 16:16:52 GMT 2023","Mon Jul 03 16:16:58 GMT 2023","5151","tests","test_header","TestHeader","","","TC 01.01.10 functionality of the ""My account"" section in the dropdown list","Check the list appears with sections 'My Account', 'My Wish List', 'Sign Out' after clicking the button,        then clicking on 'My Account' redirects to the account page with the header 'My Account' displayed"
"passed","Mon Jul 03 16:25:43 GMT 2023","Mon Jul 03 16:25:44 GMT 2023","727","tests","test_shopping_cart","TestShoppingCartFull","","","tc 07.02.04 Verify that entered quantity displayed correctly after changing","Check that entered quantity displayed correctly after changing."
"passed","Mon Jul 03 16:24:47 GMT 2023","Mon Jul 03 16:24:47 GMT 2023","58","tests","test_sale","TestSalePage","","","TC 10.04.07 - Verify that the Gear Deals contains an image","Check img existence of Gear Deals section"
"passed","Mon Jul 03 16:17:49 GMT 2023","Mon Jul 03 16:17:53 GMT 2023","3789","tests","test_header","TestHeader","","","TC 01.03.14 correctness of the ""Shorts"" link of the ""Women"" section","Check 'Shorts' subsection link click in 'Women' section redirects to the Shorts page and         the 'Shorts' header is displayed"
"passed","Mon Jul 03 16:16:10 GMT 2023","Mon Jul 03 16:16:13 GMT 2023","3314","tests","test_header","TestHeader","","","TC 01.01.06 absence of the ""Create an account"" link display","Check the 'Create an account' link is not displayed if the user is authorized"
"passed","Mon Jul 03 16:22:00 GMT 2023","Mon Jul 03 16:22:01 GMT 2023","1047","tests","test_men","TestMenPagePromoBlock","","","TC 14.06.31 Verify that the 'Shop Tees' text is visible.","Verify that text-3 in 'Luma tees' block correctly displayed"
"passed","Mon Jul 03 16:19:02 GMT 2023","Mon Jul 03 16:19:03 GMT 2023","1066","tests","test_main_page","TestMainPage","","","TC 13.01.14 - Check display of block 5 'home-eco' in section 2 in the Promo Block","This test checks if block 5 'home-eco' is displayed in section 2
            of Promo Block under header on the main page"
"passed","Mon Jul 03 16:25:50 GMT 2023","Mon Jul 03 16:25:51 GMT 2023","1021","tests","test_shopping_cart","TestShoppingCartFull","","","tc 07.02.05 Verify the subtotal amounts in the item cart and in the Summary cart are the same.","Verify the subtotal amounts in the item cart and in the summary cart are the same."
"passed","Mon Jul 03 16:22:36 GMT 2023","Mon Jul 03 16:22:48 GMT 2023","12066","tests","test_reviews_page","TestReviews","","","test_tc_01_15_02_check_that_it_is_possible_to_vote_for_2_star","
        The user is NOT logged in, located in the product card, section ""Reviews""
        1. All required fields are filled with correct data
        2. Pressed 2 star
        3.The ""Submit Review"" button is pressed
        Result: Present in the DOM and visible on the page the message: ""You submitted your review for moderation.
        This code works when run on Win, Mac, Ubuntu on a real laptop and has the features of working on GitHub Action.
        When interacting with the GitHub Action, it checks not for the text of the ""Success"" message, but for the ""Success"" URL""
        "
"passed","Mon Jul 03 16:23:35 GMT 2023","Mon Jul 03 16:23:35 GMT 2023","34","tests","test_sale","TestSalePage","","","TC 10.01.02, 10.01.04, 10.01.06, 10.01.08, 10.01.10, 10.01.12 - Verify 6 links in Women's Deals section are visible and clickable","Check that six elements in Women's Deals section are displayed and enabled"
"passed","Mon Jul 03 16:11:03 GMT 2023","Mon Jul 03 16:11:04 GMT 2023","1077","tests","test_footer","TestFooter","","","TC 02.01.12 - Check text of Privacy and Cookie Policy link on each page specified in DATA_1","Checks if text of Privacy and Cookie Policy link is correct on each page in DATA_1"
"skipped","Mon Jul 03 16:24:02 GMT 2023","Mon Jul 03 16:24:02 GMT 2023","199","tests","test_sale","TestSalePage","","","TC 10.02.01 - Verify 'MEN'S DEALS' title is correct","Check title of Men's Deals section"
"passed","Mon Jul 03 16:09:21 GMT 2023","Mon Jul 03 16:09:22 GMT 2023","795","tests","test_create_an_account","TestCreateAnAccount","","","TC 04_01_13 Verify presence of Password label and the required asterisk"," Verify presence of Password label and the required asterisk "
"passed","Mon Jul 03 16:11:55 GMT 2023","Mon Jul 03 16:11:56 GMT 2023","995","tests","test_footer","TestFooter","","","TC 02.01.27 - Check text of Contact Us link on each page specified in DATA_1","Checks if text of Contact Us link is correct on each page in DATA_1"
"passed","Mon Jul 03 16:13:13 GMT 2023","Mon Jul 03 16:13:14 GMT 2023","1002","tests","test_footer","TestFooter","","","TC 02.01.48 - Check display of Subscribe Email Field on each page specified in DATA_1","Checks if Subscribe Email Field is visible on each page in DATA_1"
"passed","Mon Jul 03 16:19:38 GMT 2023","Mon Jul 03 16:19:39 GMT 2023","997","tests","test_main_page","TestMainPage","","","TC 13.01.32 - Check the display of the info block in block 4 'home-performance' in the Promo Block","This test checks if info block in section 2 block 4 'home-performance' is displayed
            in the Promo Block under header on the main page"
"passed","Mon Jul 03 16:12:58 GMT 2023","Mon Jul 03 16:12:59 GMT 2023","976","tests","test_footer","TestFooter","","","TC 02.01.44 - Check text on Subscribe Button is present in the DOM tree on each page specified in DATA_1","Checks if text on Subscribe Button is present in the DOM tree on each page specified in DATA_1"
"passed","Mon Jul 03 16:13:57 GMT 2023","Mon Jul 03 16:13:58 GMT 2023","802","tests","test_forgot_your_password","TestForgotYourPassword","","","TC 17.01.12 Verify FYP Email field highlighting on click","
        Check the captcha field is activated with a cursor and gets highlighted when clicked
        "
"passed","Mon Jul 03 16:11:57 GMT 2023","Mon Jul 03 16:11:58 GMT 2023","1021","tests","test_footer","TestFooter","","","TC 02.01.28 - Check Write for us link is present in the DOM tree on each page specified in DATA_1","Checks if Write for us link is present in the DOM tree on each page specified in DATA_1"
"passed","Mon Jul 03 16:13:35 GMT 2023","Mon Jul 03 16:13:35 GMT 2023","46","tests","test_forgot_your_password","TestForgotYourPassword","","","TC 17.01.03 Verify FYP Email field is present","Check if the Email input field is present"
"passed","Mon Jul 03 16:09:34 GMT 2023","Mon Jul 03 16:09:34 GMT 2023","123","tests","test_create_an_account","TestCreateAnAccount","","","TC 04_01_15 Verify presence of password strength hint"," Verify presence of Password Strength note "
"passed","Mon Jul 03 16:20:33 GMT 2023","Mon Jul 03 16:20:35 GMT 2023","2082","tests","test_main_page","TestMainPage","","","TC 13.02.03 - Check the link in section 2 block 2 'home-t-shirts' in the Promo Block leads to the correct page","Check that link in section 2 block 2 'home-t-shirts' is correct"
"passed","Mon Jul 03 16:12:14 GMT 2023","Mon Jul 03 16:12:15 GMT 2023","1024","tests","test_footer","TestFooter","","","TC 02.01.33 - Check Copyright section is present in the DOM tree on each page specified in DATA_1","Checks if Copyright section is present in the DOM tree on each page specified in DATA_1"
"passed","Mon Jul 03 16:15:11 GMT 2023","Mon Jul 03 16:15:13 GMT 2023","1829","tests","test_header","TestHeader","","","TC 01.03.01 visible and interactive the link ""What is New""","Verify the link 'What's new' is visible and interactive"
"passed","Mon Jul 03 16:12:12 GMT 2023","Mon Jul 03 16:12:13 GMT 2023","1050","tests","test_footer","TestFooter","","","TC 02.01.32 - Check text of Write for us link on each page specified in DATA_1","Checks if text of Write for us link is correct on each page in DATA_1"
"passed","Mon Jul 03 16:28:13 GMT 2023","Mon Jul 03 16:28:14 GMT 2023","980","tests","test_sign_in","TestNewCustomers","","","TC 03.01.23 Verify Create an Account button is functional","Check if 'Create an Account' button link opens correct page"
